Word Form,Is In Existing Lexicon,Locations found in texts
a fortiori,False,Mishnah Bava Batra 9:7;Mishnah Bava Batra 9:7;Mishnah Yevamot 8:3;Mishnah Makhshirin 6:8;Mishnah Keritot 3:7;Mishnah Zevachim 12:3;Mishnah Nazir 7:4
acharei mot,False,Mishnah Yoma 7:1
ad infinitum,False,Mishnah Yevamot 1:1;Mishnah Yevamot 1:1
adnei hasadeh,False,Mishnah Kilayim 8:5
afikoman,False,Mishnah Pesachim 10:8
aiylonit,False,Mishnah Niddah 5:9
akaeidah,False,Mishnah Tamid 4:1
akel,False,Mishnah Bekhorot 7:6;Mishnah Bekhorot 7:6
akhan,False,Mishnah Oholot 15:7
akrvanim,False,Mishnah Eruvin 2:6
al,True,
albersia blitum,False,Mishnah Sheviit 9:1
alef,False,Mishnah Shekalim 3:2
alpha,False,Mishnah Shekalim 3:2
am ha-aretz,False,Mishnah Tevul Yom 4:5
am haaretz,False,Mishnah Demai 1:2;Mishnah Demai 1:3;Mishnah Demai 2:2;Mishnah Demai 2:2;Mishnah Demai 2:3;Mishnah Chagigah 2:7;Mishnah Horayot 3:8;Mishnah Horayot 3:8;Mishnah Demai 3:4;Mishnah Demai 3:4;Mishnah Demai 6:9;Mishnah Demai 6:9;Mishnah Demai 6:12;Mishnah Makhshirin 6:3;Mishnah Makhshirin 6:3;Mishnah Tahorot 7:1;Mishnah Tahorot 7:2;Mishnah Tahorot 7:2;Mishnah Tahorot 7:4;Mishnah Tahorot 7:5;Mishnah Tahorot 7:5;Mishnah Tahorot 8:1;Mishnah Tahorot 8:2;Mishnah Tahorot 8:2;Mishnah Tahorot 8:3;Mishnah Tahorot 8:3;Mishnah Tahorot 8:5;Mishnah Sheviit 5:9;Mishnah Maaser Sheni 3:3;Mishnah Maaser Sheni 4:6
amah,False,Mishnah Eruvin 2:5;Mishnah Eruvin 4:11;Mishnah Eruvin 5:7;Mishnah Middot 1:9;Mishnah Middot 1:9;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:5;Mishnah Middot 2:5;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:3;Mishnah Middot 3:3;Mishnah Middot 3:3;Mishnah Middot 3:3;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 4:1;Mishnah Middot 4:1;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:7;Mishnah Kelim 17:9;Mishnah Kelim 17:9;Mishnah Kelim 17:9
amei ha-aretz,False,Mishnah Chagigah 3:4;Mishnah Chagigah 3:5
amei haaretz,False,Mishnah Tahorot 7:4;Mishnah Tahorot 10:1;Mishnah Kelim 17:5
amen,False,Mishnah Shevuot 3:11;Mishnah Shevuot 4:3;Mishnah Shevuot 5:2;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 8:2;Mishnah Shevuot 8:3;Mishnah Shevuot 8:3;Mishnah Shevuot 8:3;Mishnah Shevuot 8:5;Mishnah Shevuot 8:6;Mishnah Shevuot 8:6;Mishnah Shevuot 8:6;Mishnah Shevuot 8:6
amma,False,Mishnah Middot 2:1;Mishnah Middot 2:1
amot,False,Mishnah Eruvin 1:1;Mishnah Eruvin 1:1;Mishnah Eruvin 1:1;Mishnah Eruvin 1:2;Mishnah Eruvin 1:2;Mishnah Eruvin 1:8;Mishnah Eruvin 2:5;Mishnah Eruvin 2:5;Mishnah Eruvin 2:5;Mishnah Eruvin 2:5;Mishnah Eruvin 2:5;Mishnah Eruvin 3:3;Mishnah Eruvin 3:3;Mishnah Eruvin 4:1;Mishnah Eruvin 4:1;Mishnah Eruvin 4:1;Mishnah Eruvin 4:3;Mishnah Eruvin 4:5;Mishnah Eruvin 4:5;Mishnah Eruvin 4:5;Mishnah Eruvin 4:5;Mishnah Eruvin 4:6;Mishnah Eruvin 4:6;Mishnah Eruvin 4:7;Mishnah Eruvin 4:7;Mishnah Eruvin 4:7;Mishnah Eruvin 4:8;Mishnah Eruvin 4:8;Mishnah Eruvin 4:11;Mishnah Eruvin 4:11;Mishnah Eruvin 5:2;Mishnah Eruvin 5:2;Mishnah Eruvin 5:2;Mishnah Eruvin 5:3;Mishnah Eruvin 5:4;Mishnah Eruvin 5:7;Mishnah Eruvin 5:7;Mishnah Eruvin 5:8;Mishnah Eruvin 5:8;Mishnah Eruvin 5:9;Mishnah Eruvin 5:9;Mishnah Eruvin 5:9;Mishnah Eruvin 5:9;Mishnah Eruvin 7:2;Mishnah Eruvin 8:9;Mishnah Eruvin 8:10;Mishnah Eruvin 8:10;Mishnah Eruvin 8:10;Mishnah Eruvin 10:4;Mishnah Eruvin 10:5;Mishnah Rosh Hashanah 2:5;Mishnah Rosh Hashanah 2:5;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:5;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 4:1;Mishnah Middot 4:1;Mishnah Middot 4:1;Mishnah Middot 4:1;Mishnah Middot 4:4;Mishnah Middot 4:4;Mishnah Middot 4:4;Mishnah Middot 4:4;Mishnah Middot 4:4;Mishnah Middot 4:4;Mishnah Middot 4:4;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 4:7;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:1;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Middot 5:2;Mishnah Kelim 17:10;Mishnah Tamid 1:4;Mishnah Tamid 2:5
androgenus,False,Mishnah Nazir 2:7;Mishnah Nazir 2:7
androgynos,False,Mishnah Bikkurim 1:5
androgynous,False,Mishnah Zavim 2:1
anenu,False,Mishnah Taanit 1:6
ani vaho,False,Mishnah Sukkah 4:5
anos,False,Mishnah Kilayim 7:6;Mishnah Kilayim 7:6
anpikanon,False,Mishnah Menachot 8:3
antichi,False,Mishnah Shabbat 3:4
apikoros,False,Mishnah Sanhedrin 10:1
arav,False,Mishnah Shabbat 16:7;Mishnah Shabbat 22:3
arayot,False,Mishnah Yevamot 1:2;Mishnah Yevamot 1:2;Mishnah Yevamot 1:3;Mishnah Yevamot 2:4;Mishnah Yevamot 6:2
arel,False,Mishnah Nedarim 3:11
arelim,False,Mishnah Nedarim 3:11;Mishnah Nedarim 3:11
ariach,False,Mishnah Eruvin 1:3;Mishnah Eruvin 1:3;Mishnah Eruvin 1:3;Mishnah Eruvin 1:4;Mishnah Eruvin 1:4;Mishnah Eruvin 1:4
aris,False,Mishnah Kilayim 6:1;Mishnah Kilayim 6:1;Mishnah Kilayim 6:1;Mishnah Kilayim 6:2;Mishnah Kilayim 6:6;Mishnah Kilayim 6:6;Mishnah Kilayim 6:6;Mishnah Kilayim 6:6;Mishnah Kilayim 6:6;Mishnah Kilayim 6:7;Mishnah Kilayim 6:8;Mishnah Kilayim 6:9;Mishnah Kilayim 7:3
arum palaestinum,False,Mishnah Sheviit 5:2;Mishnah Sheviit 5:3;Mishnah Sheviit 5:4;Mishnah Sheviit 5:5
asham,True,
asham talui,False,Mishnah Yevamot 4:2;Mishnah Keritot 1:2;Mishnah Keritot 1:2;Mishnah Keritot 3:1;Mishnah Keritot 4:1;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 5:2;Mishnah Keritot 5:2;Mishnah Keritot 5:4;Mishnah Keritot 5:4;Mishnah Keritot 5:5;Mishnah Keritot 5:5;Mishnah Keritot 5:6;Mishnah Keritot 5:6;Mishnah Keritot 5:7;Mishnah Keritot 5:7;Mishnah Keritot 6:1;Mishnah Keritot 6:3;Mishnah Keritot 6:3;Mishnah Keritot 6:3
ashamim,True,
ashamot,False,Mishnah Temurah 1:1;Mishnah Maaser Sheni 1:7;Mishnah Keritot 5:2;Mishnah Keritot 6:4
ashamot teluiyim,False,Mishnah Keritot 6:4
asheirah,False,Mishnah Meilah 3:8
ashera,False,Mishnah Avodah Zarah 3:8;Mishnah Avodah Zarah 3:10;Mishnah Sukkah 3:1;Mishnah Sukkah 3:2;Mishnah Sukkah 3:3;Mishnah Avodah Zarah 3:8;Mishnah Avodah Zarah 3:10
asherah,False,Mishnah Avodah Zarah 3:7;Mishnah Orlah 1:7;Mishnah Orlah 1:8;Mishnah Sukkah 3:5;Mishnah Avodah Zarah 3:7
asheras,False,Mishnah Avodah Zarah 3:7;Mishnah Avodah Zarah 3:7
ashma talui,False,Mishnah Chullin 2:10
ashurit,False,Mishnah Megillah 1:8
asperim,False,Mishnah Eduyot 1:10
assimon,False,Mishnah Maaser Sheni 1:2
asufei,False,Mishnah Kiddushin 4:1;Mishnah Kiddushin 4:1;Mishnah Kiddushin 4:2;Mishnah Kiddushin 4:3
atseret,False,Mishnah Challah 4:10;Mishnah Bikkurim 1:3;Mishnah Bikkurim 1:6
atzeret,True,
atzmi,False,Mishnah Nedarim 2:5
av beit din,False,Mishnah Chagigah 2:2
av hatumah,False,Mishnah Shekalim 8:4;Mishnah Shekalim 8:6;Mishnah Shekalim 8:6;Mishnah Shekalim 8:7;Mishnah Makhshirin 4:2;Mishnah Makhshirin 4:8;Mishnah Makhshirin 4:8;Mishnah Tevul Yom 1:4;Mishnah Maaser Sheni 3:9;Mishnah Maaser Sheni 3:9;Mishnah Meilah 4:5
avodah,False,Mishnah Tamid 5:1;Mishnah Rosh Hashanah 4:5;Mishnah Rosh Hashanah 4:5
avot,True,
azah,False,Mishnah Negaim 7:2
azarah,False,Mishnah Bikkurim 1:8
azazel,False,Mishnah Shevuot 1:6
baal habayit,False,Mishnah Peah 4:1;Mishnah Peah 4:10;Mishnah Peah 4:10;Mishnah Peah 4:10;Mishnah Peah 4:11;Mishnah Peah 4:11;Mishnah Peah 5:2;Mishnah Peah 5:4;Mishnah Peah 5:7;Mishnah Peah 5:7;Mishnah Peah 6:5;Mishnah Peah 6:6;Mishnah Peah 6:6;Mishnah Peah 7:3;Mishnah Peah 7:4;Mishnah Peah 7:4;Mishnah Peah 7:7;Mishnah Peah 8:4;Mishnah Demai 5:7;Mishnah Demai 5:7;Mishnah Demai 7:3
baal keri,False,Mishnah Berakhot 3:4;Mishnah Berakhot 3:5;Mishnah Terumot 1:6;Mishnah Mikvaot 3:4;Mishnah Mikvaot 8:4;Mishnah Niddah 5:1;Mishnah Niddah 5:2;Mishnah Zavim 1:1;Mishnah Zavim 5:11
baal ov,False,Mishnah Sanhedrin 7:4;Mishnah Sanhedrin 7:7
baal peor,False,Mishnah Sanhedrin 7:6
baal pikah,False,Mishnah Bekhorot 7:6;Mishnah Bekhorot 7:6
baalei kerayin,False,Mishnah Mikvaot 8:1;Mishnah Mikvaot 8:1;Mishnah Mikvaot 8:2
baheret,True,
baherot,False,Mishnah Negaim 4:5
baitusim,True,
bamah,False,Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10
bamot,False,Mishnah Zevachim 14:4;Mishnah Zevachim 14:4;Mishnah Zevachim 14:5;Mishnah Zevachim 14:6;Mishnah Zevachim 14:7;Mishnah Zevachim 14:8;Mishnah Zevachim 14:9;Mishnah Zevachim 14:9;Mishnah Zevachim 14:9;Mishnah Zevachim 14:9;Mishnah Zevachim 14:9;Mishnah Zevachim 14:9;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10
bardosin,False,Mishnah Kilayim 9:7
bechor,False,Mishnah Zevachim 1:2;Mishnah Zevachim 1:2;Mishnah Zevachim 5:8;Mishnah Zevachim 5:8;Mishnah Zevachim 8:2;Mishnah Zevachim 8:2;Mishnah Zevachim 10:2;Mishnah Zevachim 10:3;Mishnah Zevachim 12:4
beharot,True,
beit,True,
beit av,False,Mishnah Tamid 1:1
beit din,False,Mishnah Shekalim 7:5;Mishnah Shekalim 7:6;Mishnah Shekalim 7:7;Mishnah Yoma 1:3;Mishnah Yoma 1:5;Mishnah Yoma 1:5
beit gilgul,False,Mishnah Tahorot 6:6;Mishnah Tahorot 6:6;Mishnah Tahorot 6:6
beit hamidrash,True,
beit haperas,False,Mishnah Eruvin 3:1
beit hapras,False,Mishnah Ketubot 2:11;Mishnah Niddah 7:5
beit kor,False,Mishnah Kiddushin 3:3;Mishnah Kiddushin 3:3;Mishnah Kiddushin 3:3;Mishnah Eruvin 2:3;Mishnah Eruvin 2:3;Mishnah Eruvin 2:6;Mishnah Kilayim 2:9;Mishnah Kilayim 3:7;Mishnah Kilayim 3:7
beit midrash,False,Mishnah Menachot 10:9
beit peras,False,Mishnah Nazir 7:3
beit pras,True,
beit rova,False,Mishnah Bava Batra 1:6;Mishnah Kilayim 2:9;Mishnah Kilayim 2:9;Mishnah Kilayim 2:10;Mishnah Kilayim 2:10;Mishnah Kilayim 2:10;Mishnah Kilayim 2:10;Mishnah Kilayim 2:10;Mishnah Kilayim 3:7;Mishnah Kilayim 3:7
beit rovah,False,Mishnah Peah 3:6
beit seah,False,Mishnah Kilayim 2:2;Mishnah Kilayim 2:2;Mishnah Kilayim 2:3;Mishnah Kilayim 2:9;Mishnah Kilayim 2:9;Mishnah Kilayim 3:7;Mishnah Kilayim 3:7;Mishnah Kilayim 5:1;Mishnah Oholot 17:1;Mishnah Sheviit 1:2;Mishnah Sheviit 1:2;Mishnah Sheviit 1:3;Mishnah Sheviit 1:4;Mishnah Sheviit 1:5;Mishnah Sheviit 1:6;Mishnah Sheviit 1:6;Mishnah Sheviit 1:7;Mishnah Sheviit 1:7;Mishnah Sheviit 1:7;Mishnah Sheviit 3:2;Mishnah Sheviit 3:3
beit seatayim,False,Mishnah Eruvin 2:3;Mishnah Eruvin 2:3;Mishnah Eruvin 2:3
beit sein,False,Mishnah Sheviit 3:4;Mishnah Sheviit 3:4;Mishnah Sheviit 3:4;Mishnah Sheviit 3:4
beith habirah,False,Mishnah Zevachim 12:5
bekhi yutan,False,Mishnah Makhshirin 1:1;Mishnah Makhshirin 1:1;Mishnah Makhshirin 1:2;Mishnah Makhshirin 1:2;Mishnah Makhshirin 1:2;Mishnah Makhshirin 1:2;Mishnah Makhshirin 1:3;Mishnah Makhshirin 1:3;Mishnah Makhshirin 1:4;Mishnah Makhshirin 1:4;Mishnah Makhshirin 1:4;Mishnah Makhshirin 1:5;Mishnah Makhshirin 1:5;Mishnah Makhshirin 1:6;Mishnah Makhshirin 1:6;Mishnah Makhshirin 1:6;Mishnah Makhshirin 1:6;Mishnah Makhshirin 1:6;Mishnah Makhshirin 1:6;Mishnah Makhshirin 2:2;Mishnah Makhshirin 3:1;Mishnah Makhshirin 3:1;Mishnah Makhshirin 3:1;Mishnah Makhshirin 3:2;Mishnah Makhshirin 3:4;Mishnah Makhshirin 3:4;Mishnah Makhshirin 3:4;Mishnah Makhshirin 3:4;Mishnah Makhshirin 3:4;Mishnah Makhshirin 3:5;Mishnah Makhshirin 3:5;Mishnah Makhshirin 3:5;Mishnah Makhshirin 3:5;Mishnah Makhshirin 3:5;Mishnah Makhshirin 3:5;Mishnah Makhshirin 3:6;Mishnah Makhshirin 3:6;Mishnah Makhshirin 3:7;Mishnah Makhshirin 3:7;Mishnah Makhshirin 3:7;Mishnah Makhshirin 3:7;Mishnah Makhshirin 3:8;Mishnah Makhshirin 3:8;Mishnah Makhshirin 3:8;Mishnah Makhshirin 3:8;Mishnah Makhshirin 3:8;Mishnah Makhshirin 4:1;Mishnah Makhshirin 4:1;Mishnah Makhshirin 4:1;Mishnah Makhshirin 4:1;Mishnah Makhshirin 4:2;Mishnah Makhshirin 4:2;Mishnah Makhshirin 4:2;Mishnah Makhshirin 4:3;Mishnah Makhshirin 4:3;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:5;Mishnah Makhshirin 4:7;Mishnah Makhshirin 5:1;Mishnah Makhshirin 5:2;Mishnah Makhshirin 5:2;Mishnah Makhshirin 5:2;Mishnah Makhshirin 5:3;Mishnah Makhshirin 5:3;Mishnah Makhshirin 5:4;Mishnah Makhshirin 5:4;Mishnah Makhshirin 5:4;Mishnah Makhshirin 5:5;Mishnah Makhshirin 5:5;Mishnah Makhshirin 5:5;Mishnah Makhshirin 5:6;Mishnah Makhshirin 5:6;Mishnah Makhshirin 5:6;Mishnah Makhshirin 5:7;Mishnah Makhshirin 5:7;Mishnah Makhshirin 5:7;Mishnah Makhshirin 5:7;Mishnah Makhshirin 5:8;Mishnah Makhshirin 5:8;Mishnah Makhshirin 6:1;Mishnah Makhshirin 6:1;Mishnah Makhshirin 6:1;Mishnah Makhshirin 6:2
ben sorer umoreh,False,Mishnah Sanhedrin 7:4
beta,False,Mishnah Shekalim 3:2
bikkuirm,False,Mishnah Meilah 4:3
bikkurim,False,Mishnah Bikkurim 1:1;Mishnah Bikkurim 1:3;Mishnah Bikkurim 1:3;Mishnah Bikkurim 1:3;Mishnah Bikkurim 1:7;Mishnah Bikkurim 1:8;Mishnah Bikkurim 2:1;Mishnah Bikkurim 2:1;Mishnah Bikkurim 2:2;Mishnah Bikkurim 2:2;Mishnah Bikkurim 2:2;Mishnah Bikkurim 2:3;Mishnah Bikkurim 2:4;Mishnah Bikkurim 2:4;Mishnah Bikkurim 2:4;Mishnah Bikkurim 2:5;Mishnah Bikkurim 2:5;Mishnah Bikkurim 3:1;Mishnah Bikkurim 3:1;Mishnah Bikkurim 3:1;Mishnah Bikkurim 3:2;Mishnah Bikkurim 3:3;Mishnah Bikkurim 3:8;Mishnah Bikkurim 3:8;Mishnah Bikkurim 3:9;Mishnah Bikkurim 3:9;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:10;Mishnah Bikkurim 3:11;Mishnah Bikkurim 3:11;Mishnah Bikkurim 3:11;Mishnah Bikkurim 3:12;Mishnah Bikkurim 3:12;Mishnah Makkot 3:3;Mishnah Orlah 2:1
bikurim,True,
birchat kohanim,False,Mishnah Tamid 5:1
birkat hamazon,False,Mishnah Berakhot 3:3
birkat hashanim,False,Mishnah Berakhot 5:2
birkat kohanim,False,Mishnah Rosh Hashanah 4:5;Mishnah Rosh Hashanah 4:5
birsin,False,Mishnah Kilayim 9:7
biur,False,Mishnah Sheviit 7:1;Mishnah Sheviit 7:1;Mishnah Sheviit 7:1;Mishnah Sheviit 7:1;Mishnah Sheviit 7:2;Mishnah Sheviit 7:2;Mishnah Sheviit 7:2;Mishnah Sheviit 7:2;Mishnah Sheviit 7:2;Mishnah Sheviit 7:2;Mishnah Sheviit 7:5;Mishnah Sheviit 7:5;Mishnah Sheviit 7:5;Mishnah Sheviit 7:5;Mishnah Sheviit 7:5;Mishnah Sheviit 7:7;Mishnah Sheviit 7:7;Mishnah Sheviit 7:7;Mishnah Sheviit 7:7;Mishnah Sheviit 9:2;Mishnah Sheviit 9:5;Mishnah Sheviit 9:5;Mishnah Sheviit 9:8;Mishnah Sheviit 9:8;Mishnah Sheviit 9:8
bogeret,False,Mishnah Yevamot 6:4;Mishnah Yevamot 6:4;Mishnah Ketubot 3:9
bohak,True,
boshet,False,Mishnah Shevuot 5:4
brit,False,Mishnah Nedarim 3:11;Mishnah Nedarim 3:11
bukhriyah,False,Mishnah Sheviit 7:2
bulmos,False,Mishnah Yoma 8:6
casul,False,Mishnah Bekhorot 6:7;Mishnah Bekhorot 6:7
ceterach,False,Mishnah Sheviit 7:1;Mishnah Sheviit 7:2
chadash,True,
chag,False,Mishnah Bava Metzia 8:6;Mishnah Bava Metzia 8:6
chagigah,False,Mishnah Pesachim 6:3;Mishnah Pesachim 6:3;Mishnah Pesachim 6:4
chalal,False,Mishnah Kiddushin 4:6;Mishnah Kiddushin 4:6;Mishnah Kiddushin 4:6;Mishnah Yevamot 9:1;Mishnah Yevamot 9:2
chalala,False,Mishnah Kiddushin 4:6
chalalah,False,Mishnah Yevamot 9:2;Mishnah Yevamot 9:2
chalalim,False,Mishnah Kiddushin 4:1;Mishnah Kiddushin 4:1
chalitsah,False,Mishnah Bava Metzia 1:8
chalitza,True,
chalitzah,True,
challah,True,
challot,False,Mishnah Challah 4:10;Mishnah Challah 4:10
chalutsah,False,Mishnah Shevuot 4:7;Mishnah Shevuot 4:7
chalutza,True,
chalutzah,True,
